seed,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1,1,0,0,1,0,1,1,1,0,0
2,1,0,0,0,0,1,1,1,0,0
3,1,0,0,1,0,1,1,1,0,0
4,1,0,0,0,0,0,0,1,0,0
5,1,0,0,0,0,1,0,1,0,0
6,1,0,0,1,0,1,1,1,0,0
7,1,0,0,0,0,0,0,1,0,0
8,1,0,0,1,0,0,1,1,0,0
9,1,0,0,1,0,1,1,1,0,0
10,1,0,0,1,0,1,1,1,0,0
11,1,0,0,1,0,1,1,1,0,0
12,1,0,0,1,0,1,1,1,0,0
13,1,0,0,1,0,1,1,1,0,0
14,1,0,0,1,0,1,0,1,0,0
15,1,0,0,1,0,1,1,1,0,0
16,1,0,0,1,0,0,1,1,0,0
17,1,0,0,1,0,1,1,1,0,0
18,1,0,0,1,0,1,1,1,0,0
19,1,0,0,1,0,1,1,1,0,0
20,1,0,0,1,0,1,1,1,1,0
21,1,0,0,1,0,1,1,1,0,0
22,1,0,0,1,0,1,1,1,0,0
23,1,0,0,1,0,1,1,1,0,0
24,1,0,0,1,0,1,1,1,0,0
25,1,0,0,1,0,1,1,1,0,0
26,1,0,0,1,0,1,1,1,0,0
27,1,0,0,1,0,1,1,1,0,0
28,1,0,0,1,0,1,1,1,0,0
29,1,0,0,1,0,1,1,1,0,0
30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
