seed,x1,x2,x3,x4,x5
1,1,1,1,1,1
2,1,1,1,1,1
3,1,1,1,1,1
4,1,1,0.95,1,1
5,1,1,0.31,1,1
6,1,1,0.85,1,1
7,1,1,1,1,1
8,1,1,1,1,1
9,1,1,1,1,1
10,1,1,1,1,1
11,1,1,1,0.67,1
12,1,1,1,1,1
13,1,1,1,1,1
14,1,1,1,1,1
15,1,1,1,1,1
16,1,1,0.96,1,1
17,1,1,1,1,1
18,1,1,1,1,1
19,1,1,1,1,1
20,1,1,1,1,1
21,1,1,0.18,1,1
22,1,1,1,1,1
23,1,1,1,1,0.99
24,1,1,1,1,1
25,1,1,0.92,1,1
26,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA
35,NA,NA,NA,NA,NA
36,NA,NA,NA,NA,NA
37,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA
39,NA,NA,NA,NA,NA
40,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA
45,NA,NA,NA,NA,NA
46,NA,NA,NA,NA,NA
47,NA,NA,NA,NA,NA
48,NA,NA,NA,NA,NA
49,NA,NA,NA,NA,NA
50,NA,NA,NA,NA,NA
